comarca,serventia,codigo_serventia,colunas_nao_correspondentes
GOIANIA,1a VARA DA FAZ. PUB. MUN. E DE REG. PUB. - EXECUCAO FISCAL,11384,
GOIANIA,1a VARA DAS GARANTIAS,88277,
GOIANIA,1a VARA DE EXECUCAO PENAL,11419,
GOIANIA,1a VARA DE FAMILIA,11387,
GOIANIA,1a VARA DE SUCESSOES,78804,
GOIANIA,"1a VARA DOS FEITOS RELATIVOS A DELITOS PRATICADOS POR ORGANIZACAO CRIMINOSA E DE LAVAGEM OU OCULTACAO DE BENS, DIREITOS E VALORES",81023,
GOIANIA,1deg CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83724,
GOIANIA,1o CEJUSC DOS PARCEIROS,90488,
GOIANIA,1o JUIZADO DA INFANCIA E DA JUVENTUDE DAS CAUSAS CIVEIS E QUESTOES ADM. AFINS,78884,
GOIANIA,1o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,16434,
GOIANIA,1o JUIZADO ESPECIAL CIVEL,11437,
GOIANIA,1o JUIZADO ESPECIAL CRIMINAL,11452,
GOIANIA,1o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,84079,
GOIANIA,1o NUCLEO DE JUSTICA 4.0,83362,
GOIANIA,20a VARA CIVEL,78737,
GOIANIA,21a VARA CIVEL,78738,
GOIANIA,22a VARA CIVEL,78739,
GOIANIA,23a VARA CIVEL,78740,
GOIANIA,24a VARA CIVEL E DE ARBITRAGEM,78741,
GOIANIA,25a VARA CIVEL,78742,
GOIANIA,26a VARA CIVEL,78743,
GOIANIA,27a VARA CIVEL,78744,
GOIANIA,28a VARA CIVEL,78745,
GOIANIA,29a VARA CIVEL,78746,
GOIANIA,2a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79426,
GOIANIA,2a VARA CIVEL,11398,
GOIANIA,"2a VARA CRIMINAL DOS CRIMES CONTRA VITIMAS HIPERVULNERAVEIS (CRIANCAS E ADOLESCENTES, PESSOAS COM DEFICIENCIA E IDOSOS) E CRIMES DE TRANSITO",84208,
GOIANIA,2a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA E TRIBUNAL DO JURI,11417,
GOIANIA,2a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78750,
GOIANIA,2a VARA DA FAZENDA PUBLICA ESTADUAL,11382,
GOIANIA,2a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,11385,
GOIANIA,2a VARA DAS GARANTIAS,88278,
GOIANIA,2a VARA DE EXECUCAO PENAL,52652,
GOIANIA,2a VARA DE FAMILIA,11388,
GOIANIA,2a VARA DE SUCESSOES,81653,
GOIANIA,"2a VARA DOS FEITOS RELATIVOS A DELITOS PRATICADOS POR ORGANIZACAO CRIMINOSA E DE LAVAGEM OU OCULTACAO DE BENS, DIREITOS E VALORES",82495,
GOIANIA,2deg CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83725,
GOIANIA,2o CEJUSC DOS PARCEIROS,90489,
GOIANIA,2o JUIZADO DA INFANCIA E DA JUVENTUDE DAS CAUSAS INFRACIONAIS QUESTOES ADM. AFINS,78885,
GOIANIA,2o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,16435,
GOIANIA,2o JUIZADO ESPECIAL CIVEL,11438,
GOIANIA,2o JUIZADO ESPECIAL CRIMINAL,11454,
GOIANIA,2o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,52654,
GOIANIA,2o NUCLEO DE JUSTICA 4.0,83363,
GOIANIA,30a VARA CIVEL,78747,
GOIANIA,31a VARA CIVEL,78748,
GOIANIA,32a VARA CIVEL,87302,
GOIANIA,3a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79429,
GOIANIA,3a VARA CIVEL,11401,
GOIANIA,3a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA E TRIBUNAL DO JURI,11418,
GOIANIA,3a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,76689,
GOIANIA,3a VARA DA FAZENDA PUBLICA ESTADUAL EXECUCAO FISCAL,11386,
GOIANIA,3a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,52653,
GOIANIA,3a VARA DE EXECUCAO PENAL,78754,
GOIANIA,3a VARA DE FAMILIA,11390,
GOIANIA,3o CEJUSC DOS PARCEIROS,90490,
GOIANIA,3o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,11451,
GOIANIA,3o JUIZADO ESPECIAL CIVEL,11439,
GOIANIA,3o JUIZADO ESPECIAL CRIMINAL,87275,
GOIANIA,3o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,78736,
GOIANIA,4a TURMA RECURSAL DOS JUIZADOS ESPECIAIS,79428,
GOIANIA,4a VARA CIVEL,11403,
GOIANIA,4a VARA CRIMINAL DOS CRIMES DOLOSOS CONTRA A VIDA E TRIBUNAL DO JURI,77694,
GOIANIA,4a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,78751,
GOIANIA,4a VARA DA FAZENDA PUBLICA ESTADUAL,78732,
GOIANIA,4a VARA DA FAZ. PUB. MUN. E DE REG. PUB.,78735,
GOIANIA,4a VARA DE FAMILIA,11393,
GOIANIA,4o JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,11456,
GOIANIA,4o JUIZADO ESPECIAL CIVEL,11440,
GOIANIA,4o JUIZO DO NUCLEO DE JUSTICA 4.0 ESPECIALIZADO EM MATERIA DE JUIZADO ESPECIAL DA FAZENDA PUBLICA,84070,
GOIANIA,5a VARA CIVEL E DE ARBITRAGEM,11404,
GOIANIA,5a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,11430,
GOIANIA,5a VARA DA FAZENDA PUBLICA ESTADUAL,78733,
GOIANIA,5a VARA DA FAZENDA PUBLICA MUNICIPAL E DE REGISTROS PUBLICOS - EXECUCAO FISCAL,87304,
GOIANIA,5a VARA DE FAMILIA,11395,
GOIANIA,5deg CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83728,
GOIANIA,5o JUIZADO ESPECIAL CIVEL,11442,
GOIANIA,6a VARA CIVEL,11405,
GOIANIA,6a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,85801,
GOIANIA,6a VARA DA FAZENDA PUBLICA ESTADUAL,78734,
GOIANIA,6a VARA DE FAMILIA,11396,
GOIANIA,6o JUIZADO ESPECIAL CIVEL,11462,
GOIANIA,7a VARA CIVEL,11407,
GOIANIA,7a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,11423,
GOIANIA,7a VARA DA FAZENDA PUBLICA ESTADUAL,87285,
GOIANIA,7a VARA DE FAMILIA,84209,
GOIANIA,7o CENTRO JUDICIARIO DE SOLUCAO DE CONFLITOS E CIDADANIA,83730,
GOIANIA,7o JUIZADO ESPECIAL CIVEL,11444,
GOIANIA,8a VARA CIVEL,11408,
GOIANIA,8a VARA CRIMINAL DOS CRIMES PUNIDOS COM RECLUSAO E DETENCAO,11426,
