comarca,serventia,codigo_serventia,colunas_nao_correspondentes
RIO VERDE,2o JUIZADO ESPECIAL CIVEL E CRIMINAL,11485,
RIO VERDE,JUIZADO DE VIOLENCIA DOMESTICA E FAMILIAR CONTRA A MULHER,11486,
SANTA HELENA DE GOIAS,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",11489,
SANTA HELENA DE GOIAS,"2a VARA (CIV., CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZ. PUB. E DE REG. PUB.)",11490,
ITABERAI,"1a VARA CIVEL, INFANCIA E DA JUVENTUDE E JUIZADO ESPECIAL CIVEL",11491,
CATALAO,1o JUIZADO ESPECIAL CIVEL E CRIMINAL,11492,
TRINDADE,JUIZADO ESPECIAL CIVEL E CRIMINAL,11495,
CERES,"1a VARA (CIV., CRIMINAL - CRIME EM GERAL E EXEC. PENAIS - E DA INF. E DA JUV.)",11496,
URUACU,"2a VARA (CIV., CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI, DAS FAZ. PUB. E DE REG. PUB.)",11498,
URUACU,JUIZADO ESPECIAL CIVEL E CRIMINAL,11499,
CERES,"2aVARA (CIV, CRIMINAL - CRIME EM GERAL, CRIMES DOLOSOS CONTRA A VIDA E PRES. DO TRIB. DO JURI DAS FAZ. PUB. E DE REG. PUB.)",11500,
ABADIANIA,VARA JUDICIAL,11501,
CRISTALINA,"1a VARA (CIVEL, DE FAMILIA, SUCESSOES E DA INFANCIA E DA JUVENTUDE)",11502,
CRISTALINA,"2a VARA (CIVEL, DAS FAZENDAS PUBLICAS, DE REGISTROS PUBLICOS E AMBIENTAL)",11503,
ITAJA,VARA JUDICIAL,11507,
ITAPACI,VARA JUDICIAL,11508,
ITAPIRAPUA,VARA JUDICIAL,11511,
FORMOSA,1a VARA (CIVEL E DA INF. E DA JUV.),11512,
MINEIROS,1a VARA (CIVEL E DA INF. E DA JUVENTUDE),11514,
FORMOSA,2a VARA CIVEL E FAMILIA E SUCESSOES,11515,
